Player,Tkl,Dribbles.Tkl,Pressures %,Blocks,Clr,Country,Year,Comp
Javier Mascherano,9,2,40.7,2,4,Argentina,2018, FIFA World Cup
Lionel Messi,4,0,33.3,5,0,Argentina,2018, FIFA World Cup
Nicolas Otamendi,10,2,61.8,6,11,Argentina,2018, FIFA World Cup
Nicolas Tagliafico,6,1,26.2,5,3,Argentina,2018, FIFA World Cup
Gabriel Mercado,4,4,38.9,6,2,Argentina,2018, FIFA World Cup
Angel Di Maria,1,0,25.9,1,0,Argentina,2018, FIFA World Cup
Marcos Rojo,1,0,33.3,1,7,Argentina,2018, FIFA World Cup
Enzo Perez,2,1,25.6,2,0,Argentina,2018, FIFA World Cup
Ever Banega,7,3,18.2,1,1,Argentina,2018, FIFA World Cup
Maximiliano Meza,3,1,31.3,2,1,Argentina,2018, FIFA World Cup
Franco Armani,0,0,,0,0,Argentina,2018, FIFA World Cup
Willy Caballero,0,0,50.0,0,0,Argentina,2018, FIFA World Cup
Sergio Aguero,4,1,44.4,2,0,Argentina,2018, FIFA World Cup
Eduardo Salvio,2,0,21.1,6,4,Argentina,2018, FIFA World Cup
Cristian Pavon,2,1,33.3,1,0,Argentina,2018, FIFA World Cup
Aziz Behich,5,1,18.8,5,3,Australia,2018, FIFA World Cup
Mile Jedinak,6,0,29.1,7,1,Australia,2018, FIFA World Cup
Mathew Leckie,1,0,27.4,11,6,Australia,2018, FIFA World Cup
Mark Milligan,7,5,15.4,2,8,Australia,2018, FIFA World Cup
Aaron Mooy,5,1,30.6,6,7,Australia,2018, FIFA World Cup
Josh Risdon,12,5,22.2,6,5,Australia,2018, FIFA World Cup
Mathew Ryan,0,0,0.0,0,0,Australia,2018, FIFA World Cup
Trent Sainsbury,3,1,28.0,6,13,Australia,2018, FIFA World Cup
Tom Rogic,0,0,35.6,1,1,Australia,2018, FIFA World Cup
Robbie Kruse,6,1,23.9,4,0,Australia,2018, FIFA World Cup
Andrew Nabbout,0,0,25.0,0,0,Australia,2018, FIFA World Cup
Tomi Juric,0,0,6.3,1,1,Australia,2018, FIFA World Cup
Daniel Arzani,0,0,18.8,1,0,Australia,2018, FIFA World Cup
Jackson Irvine,3,0,20.0,2,0,Australia,2018, FIFA World Cup
Tim Cahill,0,0,10.0,0,0,Australia,2018, FIFA World Cup
Thibaut Courtois,0,0,,0,2,Belgium,2018, FIFA World Cup
Toby Alderweireld,5,4,19.1,11,18,Belgium,2018, FIFA World Cup
Kevin De Bruyne,7,2,21.6,3,5,Belgium,2018, FIFA World Cup
Jan Vertonghen,11,6,14.5,6,17,Belgium,2018, FIFA World Cup
Axel Witsel,10,4,23.0,11,3,Belgium,2018, FIFA World Cup
Eden Hazard,4,2,24.2,5,1,Belgium,2018, FIFA World Cup
Romelu Lukaku,1,0,6.5,0,1,Belgium,2018, FIFA World Cup
Thomas Meunier,5,1,19.1,4,5,Belgium,2018, FIFA World Cup
Vincent Kompany,6,1,26.1,5,23,Belgium,2018, FIFA World Cup
Nacer Chadli,4,1,20.9,4,8,Belgium,2018, FIFA World Cup
Marouane Fellaini,11,1,15.6,9,6,Belgium,2018, FIFA World Cup
Dries Mertens,2,1,14.2,2,0,Belgium,2018, FIFA World Cup
Dedryck Boyata,1,0,41.2,4,13,Belgium,2018, FIFA World Cup
Yannick Carrasco,4,2,29.1,5,1,Belgium,2018, FIFA World Cup
Mousa Dembele,6,3,19.4,6,3,Belgium,2018, FIFA World Cup
Alisson,0,0,,0,0,Brazil,2018, FIFA World Cup
Miranda,9,4,27.5,8,18,Brazil,2018, FIFA World Cup
Neymar,6,1,23.6,2,0,Brazil,2018, FIFA World Cup
Thiago Silva,3,0,23.5,6,20,Brazil,2018, FIFA World Cup
Philippe Coutinho,5,2,22.7,6,0,Brazil,2018, FIFA World Cup
Gabriel Jesus,7,0,19.7,7,4,Brazil,2018, FIFA World Cup
Willian,3,1,22.1,8,1,Brazil,2018, FIFA World Cup
Paulinho,7,1,28.8,5,0,Brazil,2018, FIFA World Cup
Fagner,12,2,19.0,11,4,Brazil,2018, FIFA World Cup
Casemiro,15,5,41.5,9,11,Brazil,2018, FIFA World Cup
Marcelo,4,3,32.6,15,3,Brazil,2018, FIFA World Cup
Filipe Luis,6,2,27.8,5,2,Brazil,2018, FIFA World Cup
Fernandinho,1,1,34.1,4,2,Brazil,2018, FIFA World Cup
Danilo,2,2,26.3,0,1,Brazil,2018, FIFA World Cup
Roberto Firmino,5,1,29.3,4,0,Brazil,2018, FIFA World Cup
Johan Mojica,6,0,32.4,6,4,Colombia,2018, FIFA World Cup
David Ospina,0,0,,0,0,Colombia,2018, FIFA World Cup
Davinson Sanchez,4,1,44.4,7,15,Colombia,2018, FIFA World Cup
Santiago Arias,5,3,29.2,7,8,Colombia,2018, FIFA World Cup
Radamel Falcao,3,0,22.3,2,4,Colombia,2018, FIFA World Cup
Juan Cuadrado,1,1,17.0,4,5,Colombia,2018, FIFA World Cup
Juan Quintero,2,0,18.2,1,1,Colombia,2018, FIFA World Cup
Yerry Mina,7,4,43.8,6,17,Colombia,2018, FIFA World Cup
Carlos Sanchez,4,1,24.0,1,1,Colombia,2018, FIFA World Cup
Wilmar Barrios,11,3,29.0,6,7,Colombia,2018, FIFA World Cup
Jefferson Lerma,1,1,8.5,3,3,Colombia,2018, FIFA World Cup
James Rodriguez,4,1,14.3,3,0,Colombia,2018, FIFA World Cup
Mateus Uribe,6,3,13.5,6,2,Colombia,2018, FIFA World Cup
Oscar Murillo,0,0,33.3,1,4,Colombia,2018, FIFA World Cup
Jose Izquierdo,1,1,30.8,0,0,Colombia,2018, FIFA World Cup
Johnny Acosta,3,1,19.2,5,5,Costa,2018, FIFA World Cup
Celso Borges,4,1,18.2,3,6,Costa,2018, FIFA World Cup
Giancarlo Gonzalez,2,1,40.0,10,14,Costa,2018, FIFA World Cup
Keylor Navas,0,0,,0,0,Costa,2018, FIFA World Cup
Bryan Ruiz,2,0,16.7,8,1,Costa,2018, FIFA World Cup
Cristian Gamboa,7,1,28.0,2,3,Costa,2018, FIFA World Cup
David Guzman,3,1,15.9,5,6,Costa,2018, FIFA World Cup
Oscar Duarte,1,0,33.3,0,8,Costa,2018, FIFA World Cup
Bryan Oviedo,6,0,17.9,4,3,Costa,2018, FIFA World Cup
Johan Venegas,2,0,14.9,2,0,Costa,2018, FIFA World Cup
Marco Urena,3,2,12.5,0,1,Costa,2018, FIFA World Cup
Joel Campbell,0,0,12.5,1,0,Costa,2018, FIFA World Cup
Francisco Calvo,7,1,30.0,0,5,Costa,2018, FIFA World Cup
Daniel Colindres,1,0,10.3,1,0,Costa,2018, FIFA World Cup
Kendall Waston,0,0,50.0,3,4,Costa,2018, FIFA World Cup
Luka Modric,5,2,21.5,5,0,Croatia,2018, FIFA World Cup
Ivan Perisic,10,2,24.1,7,5,Croatia,2018, FIFA World Cup
Dejan Lovren,3,1,50.0,15,35,Croatia,2018, FIFA World Cup
Ivan Rakitic,13,3,23.1,12,3,Croatia,2018, FIFA World Cup
Danijel Subasic,0,0,,0,0,Croatia,2018, FIFA World Cup
Domagoj Vida,5,2,34.0,8,26,Croatia,2018, FIFA World Cup
Sime Vrsaljko,6,2,33.3,6,12,Croatia,2018, FIFA World Cup
Mario Mandzukic,10,2,33.1,7,11,Croatia,2018, FIFA World Cup
Ante Rebic,7,1,32.6,10,4,Croatia,2018, FIFA World Cup
Ivan Strinic,5,2,32.8,4,16,Croatia,2018, FIFA World Cup
Marcelo Brozovic,10,3,26.4,7,10,Croatia,2018, FIFA World Cup
Andrej Kramaric,0,0,19.0,0,3,Croatia,2018, FIFA World Cup
Josip Pivaric,2,1,21.4,3,4,Croatia,2018, FIFA World Cup
Mateo Kovacic,6,2,26.1,5,2,Croatia,2018, FIFA World Cup
Vedran Corluka,2,0,11.1,2,11,Croatia,2018, FIFA World Cup
Henrik Dalsgaard,11,3,42.1,7,11,Denmark,2018, FIFA World Cup
Christian Eriksen,0,0,20.0,6,1,Denmark,2018, FIFA World Cup
Simon Kjr,4,0,40.9,5,22,Denmark,2018, FIFA World Cup
Kasper Schmeichel,0,0,,0,0,Denmark,2018, FIFA World Cup
Thomas Delaney,8,3,27.0,7,3,Denmark,2018, FIFA World Cup
Andreas Christensen,4,0,35.0,5,14,Denmark,2018, FIFA World Cup
Jens Stryger Larsen,6,2,26.9,2,2,Denmark,2018, FIFA World Cup
Yussuf Poulsen,6,3,18.5,10,3,Denmark,2018, FIFA World Cup
Pione Sisto,2,2,18.6,6,0,Denmark,2018, FIFA World Cup
Martin Braithwaite,4,0,10.3,3,2,Denmark,2018, FIFA World Cup
Mathias Jrgensen,2,0,27.3,3,8,Denmark,2018, FIFA World Cup
Nicolai Jrgensen,2,0,26.5,6,2,Denmark,2018, FIFA World Cup
Andreas Cornelius,0,0,25.8,0,0,Denmark,2018, FIFA World Cup
Lasse Schone,4,1,30.6,4,3,Denmark,2018, FIFA World Cup
Jonas Knudsen,1,0,12.5,5,0,Denmark,2018, FIFA World Cup
Mohamed Abdel-Shafy,2,0,20.7,1,4,Egypt,2018, FIFA World Cup
Ahmed Fathy,15,5,23.0,11,4,Egypt,2018, FIFA World Cup
Ali Gabr,3,1,58.3,2,15,Egypt,2018, FIFA World Cup
Ahmed Hegazi,3,2,45.0,7,20,Egypt,2018, FIFA World Cup
Mohamed Elneny,1,1,21.7,4,3,Egypt,2018, FIFA World Cup
Trezeguet,5,1,25.4,9,1,Egypt,2018, FIFA World Cup
Tarek Hamed,7,3,16.4,3,1,Egypt,2018, FIFA World Cup
Abdallah Said,3,2,18.8,3,1,Egypt,2018, FIFA World Cup
Marwan Mohsen,1,0,22.2,3,5,Egypt,2018, FIFA World Cup
Mohamed Salah,1,1,22.2,1,0,Egypt,2018, FIFA World Cup
Mohamed El-Shenawy,0,0,,0,0,Egypt,2018, FIFA World Cup
Amr Warda,1,0,15.4,4,1,Egypt,2018, FIFA World Cup
Essam El-Hadary,0,0,,0,0,Egypt,2018, FIFA World Cup
Ramadan Sobhi,1,0,15.4,0,0,Egypt,2018, FIFA World Cup
Kahraba,2,0,9.1,2,1,Egypt,2018, FIFA World Cup
Jordan Pickford,0,0,,0,0,England,2018, FIFA World Cup
John Stones,9,1,37.5,13,25,England,2018, FIFA World Cup
Harry Maguire,5,3,37.8,11,14,England,2018, FIFA World Cup
Kieran Trippier,11,5,20.7,16,9,England,2018, FIFA World Cup
Harry Kane,1,0,24.3,4,2,England,2018, FIFA World Cup
Raheem Sterling,0,0,17.1,5,0,England,2018, FIFA World Cup
Jesse Lingard,5,3,18.0,5,2,England,2018, FIFA World Cup
Kyle Walker,2,1,16.7,6,27,England,2018, FIFA World Cup
Jordan Henderson,7,5,26.5,6,4,England,2018, FIFA World Cup
Ashley Young,6,2,25.4,7,2,England,2018, FIFA World Cup
Dele Alli,4,3,26.8,16,4,England,2018, FIFA World Cup
Ruben Loftus-Cheek,2,1,16.9,2,0,England,2018, FIFA World Cup
Eric Dier,4,1,14.8,2,2,England,2018, FIFA World Cup
Fabian Delph,5,3,15.5,0,1,England,2018, FIFA World Cup
Danny Rose,6,1,25.0,2,2,England,2018, FIFA World Cup
Raphael Varane,2,0,35.3,7,25,France,2018, FIFA World Cup
N'Golo Kante,17,5,23.5,13,5,France,2018, FIFA World Cup
Lucas Hernandez,11,5,27.6,12,12,France,2018, FIFA World Cup
Antoine Griezmann,9,2,19.2,6,3,France,2018, FIFA World Cup
Olivier Giroud,6,2,33.3,5,8,France,2018, FIFA World Cup
Hugo Lloris,0,0,,0,2,France,2018, FIFA World Cup
Benjamin Pavard,11,4,29.5,9,19,France,2018, FIFA World Cup
Samuel Umtiti,3,2,52.9,7,25,France,2018, FIFA World Cup
Paul Pogba,12,2,18.0,6,10,France,2018, FIFA World Cup
Kylian Mbappe,6,1,31.3,4,0,France,2018, FIFA World Cup
Blaise Matuidi,13,2,20.0,3,1,France,2018, FIFA World Cup
Corentin Tolisso,3,2,25.5,5,3,France,2018, FIFA World Cup
Ousmane Dembele,5,0,30.0,4,0,France,2018, FIFA World Cup
Steven Nzonzi,2,1,38.5,2,4,France,2018, FIFA World Cup
Presnel Kimpembe,1,1,60.0,1,4,France,2018, FIFA World Cup
Joshua Kimmich,5,4,40.5,2,0,Germany,2018, FIFA World Cup
Toni Kroos,7,6,25.5,2,1,Germany,2018, FIFA World Cup
Manuel Neuer,0,0,0.0,0,1,Germany,2018, FIFA World Cup
Timo Werner,0,0,29.6,7,1,Germany,2018, FIFA World Cup
Marco Reus,4,1,26.2,3,0,Germany,2018, FIFA World Cup
Thomas Muller,5,3,30.8,6,1,Germany,2018, FIFA World Cup
Mats Hummels,6,1,35.5,2,4,Germany,2018, FIFA World Cup
Mesut Ozil,0,0,22.7,0,0,Germany,2018, FIFA World Cup
Jerome Boateng,6,2,30.8,3,4,Germany,2018, FIFA World Cup
Jonas Hector,2,1,45.5,3,3,Germany,2018, FIFA World Cup
Julian Draxler,2,2,38.9,0,0,Germany,2018, FIFA World Cup
Sami Khedira,3,1,19.0,1,0,Germany,2018, FIFA World Cup
Antonio Rudiger,1,0,33.3,1,2,Germany,2018, FIFA World Cup
Niklas Sule,2,2,33.3,1,2,Germany,2018, FIFA World Cup
Marvin Plattenhardt,0,0,33.3,1,0,Germany,2018, FIFA World Cup
Horur Magnusson,4,2,19.5,7,9,Iceland,2018, FIFA World Cup
Birkir Mar Svarsson,1,0,34.9,7,8,Iceland,2018, FIFA World Cup
Gylfi Sigursson,8,3,18.8,4,0,Iceland,2018, FIFA World Cup
Hannes or Halldorsson,0,0,,0,0,Iceland,2018, FIFA World Cup
Birkir Bjarnason,7,2,14.7,3,2,Iceland,2018, FIFA World Cup
Alfre Finnbogason,4,1,18.0,2,1,Iceland,2018, FIFA World Cup
Aron Gunnarsson,8,1,21.7,1,5,Iceland,2018, FIFA World Cup
Ragnar Sigursson,2,1,27.6,7,9,Iceland,2018, FIFA World Cup
Kari Arnason,3,1,26.9,3,8,Iceland,2018, FIFA World Cup
Emil Hallfresson,8,1,28.3,2,0,Iceland,2018, FIFA World Cup
Johann Berg Gumundsson,0,0,21.2,1,1,Iceland,2018, FIFA World Cup
Rurik Gislason,3,1,8.7,1,1,Iceland,2018, FIFA World Cup
Sverrir Ingi Ingason,3,1,23.1,7,5,Iceland,2018, FIFA World Cup
Jon Dai Bovarsson,1,0,32.3,2,1,Iceland,2018, FIFA World Cup
Bjorn Sigurarson,0,0,18.8,0,0,Iceland,2018, FIFA World Cup
Sardar Azmoun,2,1,21.1,4,5,Iran,2018, FIFA World Cup
Alireza Beiranvand,0,0,,0,0,Iran,2018, FIFA World Cup
Morteza Pouraliganji,0,0,12.5,6,8,Iran,2018, FIFA World Cup
Ramin Rezaeian,7,5,23.7,3,5,Iran,2018, FIFA World Cup
Vahid Amiri,6,1,19.8,5,0,Iran,2018, FIFA World Cup
Omid Ebrahimi,5,1,17.6,4,5,Iran,2018, FIFA World Cup
Ehsan Hajsafi,4,2,36.0,4,2,Iran,2018, FIFA World Cup
Mehdi Taremi,3,1,19.0,7,3,Iran,2018, FIFA World Cup
Majid Hosseini,0,0,0.0,5,4,Iran,2018, FIFA World Cup
Karim Ansarifard,3,3,26.5,2,1,Iran,2018, FIFA World Cup
Alireza Jahanbakhsh,7,6,23.4,1,0,Iran,2018, FIFA World Cup
Saeid Ezatolahi,2,1,14.6,6,7,Iran,2018, FIFA World Cup
Roozbeh Cheshmi,0,0,0.0,2,3,Iran,2018, FIFA World Cup
Masoud Shojaei,2,2,31.0,0,0,Iran,2018, FIFA World Cup
Milad Mohammadi,5,1,33.3,0,0,Iran,2018, FIFA World Cup
Eiji Kawashima,0,0,,0,0,Japan,2018, FIFA World Cup
Yuto Nagatomo,5,0,24.1,6,8,Japan,2018, FIFA World Cup
Hiroki Sakai,7,3,32.8,2,12,Japan,2018, FIFA World Cup
Maya Yoshida,1,0,34.6,10,30,Japan,2018, FIFA World Cup
Gaku Shibasaki,5,1,22.1,4,6,Japan,2018, FIFA World Cup
Yuya Osako,3,1,32.3,4,0,Japan,2018, FIFA World Cup
Takashi Inui,5,2,21.1,7,1,Japan,2018, FIFA World Cup
Makoto Hasebe,3,3,23.9,6,4,Japan,2018, FIFA World Cup
Gen Shoji,4,3,35.0,2,15,Japan,2018, FIFA World Cup
Genki Haraguchi,10,8,14.5,6,3,Japan,2018, FIFA World Cup
Shinji Kagawa,1,0,28.3,1,0,Japan,2018, FIFA World Cup
Hotaru Yamaguchi,2,2,28.0,1,2,Japan,2018, FIFA World Cup
Tomoaki Makino,0,0,25.0,2,2,Japan,2018, FIFA World Cup
Gotoku Sakai,0,0,9.5,1,1,Japan,2018, FIFA World Cup
Yoshinori Muto,1,0,33.3,1,0,Japan,2018, FIFA World Cup
Son Heung-min,1,0,13.4,3,4,Korea,2018, FIFA World Cup
Jang Hyun-soo,0,0,19.6,8,12,Korea,2018, FIFA World Cup
Cho Hyun-woo,0,0,,0,1,Korea,2018, FIFA World Cup
Lee Jae-sung,3,2,19.8,5,2,Korea,2018, FIFA World Cup
Lee Yong,9,4,24.0,9,11,Korea,2018, FIFA World Cup
Kim Young-gwon,2,2,25.0,7,11,Korea,2018, FIFA World Cup
Hwang Hee-chan,7,3,16.3,4,1,Korea,2018, FIFA World Cup
Ki Sung-yueng,4,1,28.9,5,4,Korea,2018, FIFA World Cup
Moon Seon-min,3,1,20.3,1,0,Korea,2018, FIFA World Cup
Koo Ja-cheol,3,1,19.0,2,1,Korea,2018, FIFA World Cup
Kim Min-woo,1,0,7.7,0,2,Korea,2018, FIFA World Cup
Jung Woo-young,4,0,21.3,5,5,Korea,2018, FIFA World Cup
Hong Chul,1,1,26.3,3,3,Korea,2018, FIFA World Cup
Yun Young-sun,1,0,66.7,4,5,Korea,2018, FIFA World Cup
Ju Se-jong,2,1,17.5,1,0,Korea,2018, FIFA World Cup
Hector Herrera,10,2,25.5,11,0,Mexico,2018, FIFA World Cup
Guillermo Ochoa,0,0,,0,0,Mexico,2018, FIFA World Cup
Carlos Salcedo,5,5,22.7,12,13,Mexico,2018, FIFA World Cup
Jesus Gallardo,9,3,22.4,17,10,Mexico,2018, FIFA World Cup
Javier Hernandez,2,0,6.7,2,3,Mexico,2018, FIFA World Cup
Hirving Lozano,5,1,28.4,5,0,Mexico,2018, FIFA World Cup
Carlos Vela,5,0,20.4,1,0,Mexico,2018, FIFA World Cup
Andres Guardado,5,2,26.5,4,2,Mexico,2018, FIFA World Cup
Miguel Layun,3,1,23.7,2,1,Mexico,2018, FIFA World Cup
Hector Moreno,3,2,58.3,3,3,Mexico,2018, FIFA World Cup
Edson Alvarez,5,3,31.7,10,6,Mexico,2018, FIFA World Cup
Hugo Ayala,3,0,33.3,3,8,Mexico,2018, FIFA World Cup
Rafael Marquez,4,3,20.0,2,2,Mexico,2018, FIFA World Cup
Raul Jimenez,0,0,14.8,2,0,Mexico,2018, FIFA World Cup
Jesus Corona,0,0,50.0,1,0,Mexico,2018, FIFA World Cup
M'barek Boussoufa,9,1,19.4,2,2,Morocco,2018, FIFA World Cup
Achraf Hakimi,7,3,25.5,1,7,Morocco,2018, FIFA World Cup
Munir,0,0,,0,0,Morocco,2018, FIFA World Cup
Karim El Ahmadi,6,0,37.7,1,3,Morocco,2018, FIFA World Cup
Hakim Ziyech,5,2,23.7,8,0,Morocco,2018, FIFA World Cup
Nordin Amrabat,3,1,15.1,5,2,Morocco,2018, FIFA World Cup
Younes Belhanda,3,0,28.6,4,3,Morocco,2018, FIFA World Cup
Manuel da Costa,2,0,9.1,4,7,Morocco,2018, FIFA World Cup
Medhi Benatia,0,0,25.0,3,4,Morocco,2018, FIFA World Cup
Nabil Dirar,4,2,15.2,6,4,Morocco,2018, FIFA World Cup
Romain Saiss,4,1,16.7,6,10,Morocco,2018, FIFA World Cup
Khalid Boutaib,0,0,12.5,1,1,Morocco,2018, FIFA World Cup
Ayoub El Kaabi,0,0,63.2,0,1,Morocco,2018, FIFA World Cup
Amine Harit,0,0,42.9,1,0,Morocco,2018, FIFA World Cup
Faycal Fajr,1,0,7.1,0,0,Morocco,2018, FIFA World Cup
Leon Balogun,2,0,18.8,3,5,Nigeria,2018, FIFA World Cup
Victor Moses,5,3,22.2,7,7,Nigeria,2018, FIFA World Cup
Wilfred Ndidi,7,2,19.6,6,3,Nigeria,2018, FIFA World Cup
William Troost-Ekong,1,1,22.7,3,10,Nigeria,2018, FIFA World Cup
Francis Uzoho,0,0,,0,0,Nigeria,2018, FIFA World Cup
Oghenekaro Etebo,5,4,34.8,5,2,Nigeria,2018, FIFA World Cup
John Obi Mikel,6,0,24.7,2,1,Nigeria,2018, FIFA World Cup
Brian Idowu,4,2,29.7,3,1,Nigeria,2018, FIFA World Cup
Ahmed Musa,1,0,26.6,0,0,Nigeria,2018, FIFA World Cup
Kenneth Omeruo,2,0,25.0,0,9,Nigeria,2018, FIFA World Cup
Kelechi Iheanacho,0,0,25.0,1,0,Nigeria,2018, FIFA World Cup
Odion Ighalo,0,0,35.0,0,4,Nigeria,2018, FIFA World Cup
Shehu Abdullahi,1,0,28.6,2,4,Nigeria,2018, FIFA World Cup
Alex Iwobi,0,0,22.2,1,1,Nigeria,2018, FIFA World Cup
Tyronne Ebuehi,4,2,33.3,0,0,Nigeria,2018, FIFA World Cup
Fidel Escobar,9,4,42.1,7,8,Panama,2018, FIFA World Cup
Jaime Penedo,0,0,,0,0,Panama,2018, FIFA World Cup
Gabriel Gomez,5,4,16.7,4,3,Panama,2018, FIFA World Cup
Jose Luis Rodriguez,0,0,13.2,2,0,Panama,2018, FIFA World Cup
Anibal Godoy,3,1,13.5,3,2,Panama,2018, FIFA World Cup
Roman Torres,1,0,31.8,3,20,Panama,2018, FIFA World Cup
Edgar Yoel Barcenas,2,2,17.7,1,1,Panama,2018, FIFA World Cup
Michael Amir Murillo,5,2,36.7,0,1,Panama,2018, FIFA World Cup
Armando Cooper,2,0,13.2,5,0,Panama,2018, FIFA World Cup
Erick Davis,3,2,33.3,1,2,Panama,2018, FIFA World Cup
Blas Perez,0,0,12.5,1,2,Panama,2018, FIFA World Cup
Ricardo Avila,3,2,15.8,0,0,Panama,2018, FIFA World Cup
Adolfo Machado,3,1,36.4,0,4,Panama,2018, FIFA World Cup
Luis Ovalle,1,0,14.3,0,4,Panama,2018, FIFA World Cup
Gabriel Torres,3,0,20.0,0,0,Panama,2018, FIFA World Cup
Luis Advincula,13,6,34.8,4,7,Peru,2018, FIFA World Cup
Christian Cueva,5,1,18.6,2,3,Peru,2018, FIFA World Cup
Pedro Gallese,0,0,,0,0,Peru,2018, FIFA World Cup
Christian Ramos,0,0,31.8,4,13,Peru,2018, FIFA World Cup
Miguel Trauco,5,1,22.5,8,6,Peru,2018, FIFA World Cup
Andre Carrillo,3,0,22.4,3,0,Peru,2018, FIFA World Cup
Edison Flores,6,0,24.5,4,1,Peru,2018, FIFA World Cup
Yoshimar Yotun,3,0,27.0,0,0,Peru,2018, FIFA World Cup
Paolo Guerrero,2,1,14.3,2,3,Peru,2018, FIFA World Cup
Renato Tapia,3,2,5.3,4,4,Peru,2018, FIFA World Cup
Alberto Rodriguez,0,0,54.5,4,4,Peru,2018, FIFA World Cup
Pedro Aquino,11,4,40.5,3,4,Peru,2018, FIFA World Cup
Anderson Santamaria,4,1,33.3,2,5,Peru,2018, FIFA World Cup
Jefferson Farfan,1,0,25.0,0,3,Peru,2018, FIFA World Cup
Paolo Hurtado,2,1,20.0,1,1,Peru,2018, FIFA World Cup
Grzegorz Krychowiak,5,2,31.1,3,3,Poland,2018, FIFA World Cup
Robert Lewandowski,2,1,32.4,1,2,Poland,2018, FIFA World Cup
Piotr Zielinski,3,2,32.8,0,1,Poland,2018, FIFA World Cup
Jan Bednarek,1,1,40.0,4,12,Poland,2018, FIFA World Cup
Kamil Grosicki,1,1,34.2,5,0,Poland,2018, FIFA World Cup
Jacek Goralski,12,2,32.0,5,1,Poland,2018, FIFA World Cup
